PSD_0.0Hz,PSD_25.0Hz,PSD_50.0Hz,Emotion
10.40166667,1089.234167,1077.36,Happy
545.3066667,560.4033333,17.34,Happy
447.2066667,3551.170833,3105.375,Happy
47.04,243.6833333,194.94,Happy
539.6016667,3789.0075,3248.026667,Happy
29.04,309.6708333,281.535,Happy
108.375,1063.456667,955.0816667,Happy
360.375,361.7208333,0.54,Happy
554.8816667,961.7475,406.7266667,Happy
354.2016667,378.6033333,24.40166667,Happy
517.0816667,1895.393333,1377.135,Happy
204.1666667,429.8166667,225.7066667,Happy
17.68166667,484.0833333,466.4016667,Happy
210.0416667,261.9608333,52.80666667,Happy
0.481666667,336.4833333,336.0016667,Happy
745.935,1855.940833,1109.76,Happy
844.9066667,1199.816667,355.74,Happy
62.08166667,260.4566667,198.375,Happy
244.4816667,589.5233333,345.0416667,Happy
305.3066667,502.5333333,197.2266667,Happy
244.4816667,914.8275,669.9266667,Happy
40.04166667,41.65416667,1.926666667,Happy
289.815,688.1133333,395.2816667,Happy
708.5066667,1900.723333,1192.86,Happy
871.215,3060.780833,2188.86,Happy
18.72666667,33.45333333,14.72666667,Happy
294.0,697.44,403.44,Happy
1215.526667,2707.053333,1491.526667,Happy
691.2266667,974.1333333,282.9066667,Happy
12.32666667,1120.870833,1107.041667,Happy
478.8266667,3030.2775,2550.281667,Happy
348.0816667,350.0541667,2.666666667,Happy
57.66,413.4,355.74,Happy
315.375,3686.966667,3374.881667,Happy
257.415,2799.456667,2542.041667,Happy
4.335,138.3741667,134.4266667,Happy
280.1666667,315.6508333,35.04166667,Happy
489.6066667,1543.404167,1053.375,Happy
330.0416667,3402.166667,3069.081667,Happy
1383.201667,3603.134167,2219.526667,Happy
464.64,3032.630833,2566.801667,Happy
319.74,1497.870833,1178.801667,Happy
61.44,64.36333333,2.406666667,Happy
158.1066667,225.9375,68.68166667,Happy
1148.166667,1720.493333,572.3266667,Happy
471.7066667,1018.990833,547.215,Happy
11.20666667,623.2666667,612.06,Happy
1463.281667,2870.883333,1407.601667,Happy
1620.326667,2888.016667,1267.306667,Happy
871.215,947.1266667,74.20166667,Happy
24.80666667,64.33333333,39.52666667,Happy
296.8066667,2219.266667,1922.46,Happy
185.9266667,797.9866667,612.06,Happy
70.72666667,856.6566667,788.9066667,Happy
520.8016667,529.8808333,10.14,Happy
4.681666667,20.94083333,16.00666667,Happy
81.40166667,101.9366667,20.535,Happy
180.4016667,711.66,532.0416667,Happy
132.54,1796.816667,1666.666667,Happy
482.4066667,2565.613333,2083.206667,Happy
689.0816667,2246.486667,1558.481667,Happy
169.6016667,185.9366667,16.335,Happy
248.3266667,457.1866667,208.86,Happy
303.8816667,407.5141667,102.5066667,Happy
9.126666667,766.2533333,757.1266667,Happy
102.5066667,273.4166667,172.8066667,Happy
262.6816667,479.7666667,219.615,Happy
812.0066667,1560.173333,748.1666667,Happy
108.375,833.5266667,728.2016667,Happy
702.0016667,1163.334167,461.1266667,Happy
1.215,1089.233333,1090.801667,Happy
413.34,2069.190833,1656.681667,Happy
363.4816667,413.2066667,47.60166667,Happy
236.8816667,1967.483333,1730.601667,Happy
393.66,2045.323333,1653.36,Happy
148.0066667,163.4166667,14.10666667,Happy
4.86,643.2833333,640.6666667,Happy
844.9066667,950.8241667,106.6816667,Happy
1603.935,3675.976667,2072.041667,Happy
35.52666667,88.98416667,53.40166667,Happy
443.76,3022.986667,2579.226667,Happy
382.4016667,910.9666667,528.2816667,Happy
363.4816667,580.6833333,217.2016667,Happy
1.401666667,1.5,0.001666667,Happy
0.601666667,1563.954167,1561.706667,Happy
16.66666667,614.3366667,596.0066667,Happy
576.24,1411.68,835.44,Happy
231.8816667,926.1666667,693.375,Happy
183.7066667,209.4041667,26.04166667,Happy
76.32666667,691.1233333,616.1066667,Happy
5.041666667,281.8941667,277.44,Happy
17.34,339.4441667,321.2016667,Happy
48.16666667,673.7108333,626.2816667,Happy
382.4016667,677.9008333,294.0,Happy
0.0,1422.96,1422.96,Happy
743.7066667,2825.416667,2083.206667,Happy
480.615,2396.814167,1915.306667,Happy
52.215,412.59,360.375,Happy
655.215,1862.966667,1207.001667,Happy
231.8816667,1812.0075,1581.126667,Happy
1426.041667,2725.523333,1299.481667,Happy
265.335,888.2466667,626.2816667,Happy
52.80666667,161.9041667,108.375,Happy
515.2266667,1880.850833,1365.041667,Happy
363.4816667,428.1633333,64.68166667,Happy
450.6666667,451.8841667,0.375,Happy
970.2816667,1602.954167,632.4266667,Happy
